PPO,DQN,A2C
0.676,0.722,0.483
0.912,0.689,0.034
0.827,0.489,0.008
0.679,0.694,0.022
0.784,0.671,0.043
0.895,0.822,0.175
0.778,0.665,0.119
0.697,0.862,0.313
0.796,0.807,0.145
0.822,0.653,0.13
0.69,0.82,0.01
0.799,0.488,0.014
0.813,0.644,0.076
0.803,0.409,0.17
0.893,0.859,0.021
0.681,0.0,0.022
0.926,0.494,0.136
0.84,0.045,0.015
0.87,0.603,0.156
0.906,0.445,0.184
0.879,0.693,0.098
0.821,0.012,0.069
0.807,0.014,0.031
0.807,0.015,0.058
0.91,0.0,0.072
0.74,0.388,0.044
0.916,0.691,0.117
0.676,0.199,0.022
0.719,0.365,0.012
0.808,0.068,0.042
