A2C,DQN,PPO
0.483,0.862,0.926
0.313,0.859,0.916
0.184,0.822,0.912
0.175,0.82,0.91
0.17,0.807,0.906
0.156,0.722,0.895
0.145,0.694,0.893
0.136,0.693,0.879
0.13,0.691,0.87
0.119,0.689,0.84
0.117,0.671,0.827
0.098,0.665,0.822
0.076,0.653,0.821
0.072,0.644,0.813
0.069,0.603,0.808
0.058,0.494,0.807
0.044,0.489,0.807
0.043,0.488,0.803
0.042,0.445,0.799
0.034,0.409,0.796
0.031,0.388,0.784
0.022,0.365,0.778
0.022,0.199,0.74
0.022,0.068,0.719
0.021,0.045,0.697
0.015,0.015,0.69
0.014,0.014,0.681
0.012,0.012,0.679
0.01,0.0,0.676
0.008,0.0,0.676
